id_vente,adherent_id,personne_physique,montant,code_mp,produit,produit_ref,secteur,code_ant,annee,month,jour,mois,moy_paiment,aita_antenne,antenne,date,trimestre,année_mois
1,1428,PP,100,1,Carte de Commerce,CA-AHU-0001-s-0001-2023,Service,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
51,1897,PP,50,1,Attestation Professionnelle,AP-AHU-0011-c-0016-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
4712,12278,PP,100,1,Carte de Commerce,CA-TET-0001-s-0001-2023,Service,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4713,12278,PP,50,1,Attestation Professionnelle,AP-TET-0001-s-0001-2023,Service,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4715,12279,PP,100,1,Carte de Commerce,CA-TET-0001-c-0002-2023,Commerce,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4716,12279,PP,50,1,Attestation Professionnelle,AP-TET-0001-c-0002-2023,Commerce,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4719,8428,PM,200,1,Carte de Commerce,CA-TET-0002-s-0003-2023,Service,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4721,9661,PM,200,1,Carte de Commerce,CA-TET-0003-s-0004-2023,Service,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4724,12284,PP,100,1,Carte de Commerce,CA-TET-0002-c-0005-2023,Commerce,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
4725,12286,PP,100,1,Carte de Commerce,CA-TET-0003-c-0006-2023,Commerce,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
6299,12277,PM,100,1,Attestation Professionnelle,AP-TNG-0001-s-0001-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6301,193,PM,706,1,Certificat d'origine,CO-TNG-0001-s-0001-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6302,193,PM,981,1,Certificat d'origine,CO-TNG-0002-s-0002-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6303,193,PM,400,1,Certificat d'origine,CO-TNG-0003-s-0003-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6304,193,PM,400,1,Certificat d'origine,CO-TNG-0004-s-0004-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6305,193,PM,100,1,Légalisation,VI-TNG-1979-s-4603-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6306,193,PM,100,1,Légalisation,VI-TNG-1980-s-4604-2023,Service,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6724,12255,PP,100,1,Carte de Commerce,CA-TNG-0001-c-0001-2023,Commerce,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6725,12281,PP,50,1,Attestation Professionnelle,AP-TNG-0001-c-0002-2023,Commerce,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6726,12281,PP,100,1,Carte de Commerce,CA-TNG-0002-c-0002-2023,Commerce,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6727,3936,PP,50,1,Attestation Professionnelle,AP-TNG-0002-c-0003-2023,Commerce,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6728,12282,PP,50,1,Attestation Professionnelle,AP-TNG-0003-c-0004-2023,Commerce,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6729,12282,PP,100,1,Carte de Commerce,CA-TNG-0003-c-0003-2023,Commerce,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6730,12285,PM,100,1,Attestation Professionnelle,AP-TNG-0001-i-0005-2023,Industrie,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
6731,12285,PM,200,1,Carte de Commerce,CA-TNG-0001-i-0004-2023,Industrie,TANGER,2023,1,2,janvier,Espèce,TNG,TANGER,2023-01-02,1,2023-01-31 00:00:00
10976,9852,PP,100,1,Carte de Commerce,CA--0001-c-0001-2023,Commerce,LARACHE,2023,1,2,janvier,Espèce,LA,LARACHE,2023-01-02,1,2023-01-31 00:00:00
47,6153,PP,50,1,Attestation Professionnelle,AP-AHU-0010-c-0015-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
46,6153,PP,100,1,Carte de Commerce,CA-AHU-0008-c-0016-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
4723,12284,PP,50,1,Attestation Professionnelle,AP-TET-0002-c-0003-2023,Commerce,TETOUAN,2023,1,2,janvier,Espèce,TET,TETOUAN,2023-01-02,1,2023-01-31 00:00:00
44,6189,PP,50,1,Attestation Professionnelle,AP-AHU-0009-c-0014-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
2,1428,PP,50,1,Attestation Professionnelle,AP-AHU-0001-s-0001-2023,Service,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
3,1651,PP,100,1,Carte de Commerce,CA-AHU-0001-c-0002-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
4,1651,PP,50,1,Attestation Professionnelle,AP-AHU-0001-c-0002-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
8,3476,PP,100,1,Carte de Commerce,CA-AHU-0002-s-0003-2023,Service,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
45,6189,PP,100,1,Carte de Commerce,CA-AHU-0007-c-0015-2023,Commerce,AL HOCEIMA,2023,1,2,janvier,Espèce,AHU,AL HOCEIMA,2023-01-02,1,2023-01-31 00:00:00
