annee,month,année_mois,recettes,transactions,date,trimestre,month_sin,month_cos,lag_1,lag_3,lag_6,moyenne_mobile,rolling_6,transactions_lag_1,transactions_lag_3,transactions_rolling_3,transactions_diff,trend
2023,1,2023-01-31 00:00:00,100715,792,2023-01-31,1,0.5,0.866025404,,,,,,,,,,0
2023,2,2023-02-28 00:00:00,105322,713,2023-02-28,1,0.866025404,0.5,100715,,,,,792,,,-79,1
2023,3,2023-03-31 00:00:00,114985,715,2023-03-31,1,1,6.12323E-17,105322,,,,,713,,,2,2
2023,4,2023-04-30 00:00:00,84472,588,2023-04-30,2,0.866025404,-0.5,114985,100715,,107007.3333,,715,792,740,-127,3
2023,5,2023-05-31 00:00:00,108284,716,2023-05-31,2,0.5,-0.866025404,84472,105322,,101593,,588,713,672,128,4
2023,6,2023-06-30 00:00:00,79788,504,2023-06-30,2,1.22465E-16,-1,108284,114985,,102580.3333,,716,715,673,-212,5
2023,7,2023-07-31 00:00:00,64345,345,2023-07-31,3,-0.5,-0.866025404,79788,84472,100715,90848,98927.66667,504,588,602.6666667,-159,6
2023,8,2023-08-31 00:00:00,136671,660,2023-08-31,3,-0.866025404,-0.5,64345,108284,105322,84139,92866,345,716,521.6666667,315,7
2023,9,2023-09-30 00:00:00,90003,610,2023-09-30,3,-1,-1.83697E-16,136671,79788,114985,93601.33333,98090.83333,660,504,503,-50,8
2023,10,2023-10-31 00:00:00,114184,811,2023-10-31,4,-0.866025404,0.5,90003,64345,84472,97006.33333,93927.16667,610,345,538.3333333,201,9
2023,11,2023-11-30 00:00:00,111808,798,2023-11-30,4,-0.5,0.866025404,114184,136671,108284,113619.3333,98879.16667,811,660,693.6666667,-13,10
2023,12,2023-12-31 00:00:00,92347,648,2023-12-31,4,-2.44929E-16,1,111808,90003,79788,105331.6667,99466.5,798,610,739.6666667,-150,11
2024,1,2024-01-31 00:00:00,102534,770,2024-01-31,1,0.5,0.866025404,92347,114184,64345,106113,101559.6667,648,811,752.3333333,122,12
2024,2,2024-02-29 00:00:00,106254,770,2024-02-29,1,0.866025404,0.5,102534,111808,136671,102229.6667,107924.5,770,798,738.6666667,0,13
2024,3,2024-03-31 00:00:00,80544,611,2024-03-31,1,1,6.12323E-17,106254,92347,90003,100378.3333,102855,770,648,729.3333333,-159,14
2024,4,2024-04-30 00:00:00,129836,687,2024-04-30,2,0.866025404,-0.5,80544,102534,114184,96444,101278.5,611,770,717,76,15
2024,5,2024-05-31 00:00:00,113747,706,2024-05-31,2,0.5,-0.866025404,129836,106254,111808,105544.6667,103887.1667,687,770,689.3333333,19,16
2024,6,2024-06-30 00:00:00,285837,645,2024-06-30,2,1.22465E-16,-1,113747,80544,92347,108042.3333,104210.3333,706,611,668,-61,17
2024,7,2024-07-31 00:00:00,109835,611,2024-07-31,3,-0.5,-0.866025404,285837,129836,102534,176473.3333,136458.6667,645,687,679.3333333,-34,18
2024,8,2024-08-31 00:00:00,112058,627,2024-08-31,3,-0.866025404,-0.5,109835,113747,106254,169806.3333,137675.5,611,706,654,16,19
2024,9,2024-09-30 00:00:00,99636,640,2024-09-30,3,-1,-1.83697E-16,112058,285837,80544,169243.3333,138642.8333,627,645,627.6666667,13,20
2024,10,2024-10-31 00:00:00,146855,862,2024-10-31,4,-0.866025404,0.5,99636,109835,129836,107176.3333,141824.8333,640,611,626,222,21
2024,11,2024-11-30 00:00:00,124216,705,2024-11-30,4,-0.5,0.866025404,146855,112058,113747,119516.3333,144661.3333,862,627,709.6666667,-157,22
2024,12,2024-12-31 00:00:00,128306,718,2024-12-31,4,-2.44929E-16,1,124216,99636,285837,123569,146406.1667,705,640,735.6666667,13,23
2025,1,2025-01-31 00:00:00,127741,834,2025-01-31,1,0.5,0.866025404,128306,146855,109835,133125.6667,120151,718,862,761.6666667,116,24
2025,2,2025-02-28 00:00:00,108480,684,2025-02-28,1,0.866025404,0.5,127741,124216,112058,126754.3333,123135.3333,834,705,752.3333333,-150,25
2025,3,2025-03-31 00:00:00,108726,610,2025-03-31,1,1,6.12323E-17,108480,128306,99636,121509,122539,684,718,745.3333333,-74,26
2025,4,2025-04-30 00:00:00,117865,747,2025-04-30,2,0.866025404,-0.5,108726,127741,146855,114982.3333,124054,610,834,709.3333333,137,27
2025,5,2025-05-31 00:00:00,112420,625,2025-05-31,2,0.5,-0.866025404,117865,108480,124216,111690.3333,119222.3333,747,684,680.3333333,-122,28
2025,6,2025-06-30 00:00:00,85067,471,2025-06-30,2,1.22465E-16,-1,112420,108726,128306,113003.6667,117256.3333,625,610,660.6666667,-154,29
2025,7,2025-07-31 00:00:00,91171,513,2025-07-31,3,-0.5,-0.866025404,85067,117865,127741,105117.3333,110049.8333,471,747,614.3333333,42,30
2025,8,2025-08-31 00:00:00,76700,471,2025-08-31,3,-0.866025404,-0.5,91171,112420,108480,96219.33333,103954.8333,513,625,536.3333333,-42,31
2025,9,2025-09-30 00:00:00,95680,638,2025-09-30,3,-1,-1.83697E-16,76700,85067,108726,84312.66667,98658.16667,471,471,485,167,32
2025,10,2025-10-31 00:00:00,128021,704,2025-10-31,4,-0.866025404,0.5,95680,91171,117865,87850.33333,96483.83333,638,513,540.6666667,66,33
2025,11,2025-11-30 00:00:00,95111,648,2025-11-30,4,-0.5,0.866025404,128021,76700,112420,100133.6667,98176.5,704,471,604.3333333,-56,34
2025,12,2025-12-31 00:00:00,106738,609,2025-12-31,4,-2.44929E-16,1,95111,95680,85067,106270.6667,95291.66667,648,638,663.3333333,-39,35
