segment_type,segment_value,date,yhat
adherent,PM,2026-01-31,67028.6640625
adherent,PM,2026-02-28,53839.0078125
adherent,PM,2026-03-31,61862.15234375
adherent,PM,2026-04-30,68676.9375
adherent,PM,2026-05-31,64872.30078125
adherent,PM,2026-06-30,64416.90234375
adherent,PM,2026-07-31,66402.78125
adherent,PM,2026-08-31,65728.796875
adherent,PM,2026-09-30,66265.921875
adherent,PM,2026-10-31,71682.1171875
adherent,PM,2026-11-30,70022.734375
adherent,PM,2026-12-31,69571.265625
adherent,PP,2026-01-31,31946.923828125
adherent,PP,2026-02-28,31368.927734375
adherent,PP,2026-03-31,27822.498046875
adherent,PP,2026-04-30,28873.658203125
adherent,PP,2026-05-31,27545.259765625
adherent,PP,2026-06-30,31555.298828125
adherent,PP,2026-07-31,30493.65625
adherent,PP,2026-08-31,28509.859375
adherent,PP,2026-09-30,30227.427734375
adherent,PP,2026-10-31,32168.169921875
adherent,PP,2026-11-30,30787.185546875
adherent,PP,2026-12-31,30038.658203125
adherent,Particulier,2026-01-31,3627.821533203125
adherent,Particulier,2026-02-28,2744.435302734375
adherent,Particulier,2026-03-31,2688.552001953125
adherent,Particulier,2026-04-30,2549.171142578125
adherent,Particulier,2026-05-31,2590.014404296875
adherent,Particulier,2026-06-30,1953.0137939453125
adherent,Particulier,2026-07-31,2112.415283203125
adherent,Particulier,2026-08-31,2162.19580078125
adherent,Particulier,2026-09-30,2404.751953125
adherent,Particulier,2026-10-31,2934.837890625
adherent,Particulier,2026-11-30,2303.55908203125
adherent,Particulier,2026-12-31,2136.56640625
antenne,AL HOCEIMA,2026-01-31,14974.71875
antenne,AL HOCEIMA,2026-02-28,13905.328125
antenne,AL HOCEIMA,2026-03-31,13936.2138671875
antenne,AL HOCEIMA,2026-04-30,14155.8828125
antenne,AL HOCEIMA,2026-05-31,14308.9365234375
antenne,AL HOCEIMA,2026-06-30,14193.12890625
antenne,AL HOCEIMA,2026-07-31,14271.7373046875
antenne,AL HOCEIMA,2026-08-31,14379.6552734375
antenne,AL HOCEIMA,2026-09-30,14991.76953125
antenne,AL HOCEIMA,2026-10-31,15641.4677734375
antenne,AL HOCEIMA,2026-11-30,15060.3154296875
antenne,AL HOCEIMA,2026-12-31,14812.677734375
antenne,LARACHE,2026-01-31,3771.904296875
antenne,LARACHE,2026-02-28,2921.9921875
antenne,LARACHE,2026-03-31,3018.9638671875
antenne,LARACHE,2026-04-30,2989.382080078125
antenne,LARACHE,2026-05-31,2989.382080078125
antenne,LARACHE,2026-06-30,2594.340576171875
antenne,LARACHE,2026-07-31,2600.648681640625
antenne,LARACHE,2026-08-31,2650.42919921875
antenne,LARACHE,2026-09-30,2892.9853515625
antenne,LARACHE,2026-10-31,3543.7392578125
antenne,LARACHE,2026-11-30,2871.1123046875
antenne,LARACHE,2026-12-31,2774.22216796875
antenne,TANGER,2026-01-31,82631.4765625
antenne,TANGER,2026-02-28,83499.984375
antenne,TANGER,2026-03-31,80517.9453125
antenne,TANGER,2026-04-30,85206.0546875
antenne,TANGER,2026-05-31,86715.6484375
antenne,TANGER,2026-06-30,119714.6015625
antenne,TANGER,2026-07-31,84447.9296875
antenne,TANGER,2026-08-31,84366.390625
antenne,TANGER,2026-09-30,83653.9375
antenne,TANGER,2026-10-31,89163.2421875
antenne,TANGER,2026-11-30,86115.765625
antenne,TANGER,2026-12-31,87406.4921875
antenne,TETOUAN,2026-01-31,8292.87109375
antenne,TETOUAN,2026-02-28,8423.7060546875
antenne,TETOUAN,2026-03-31,6974.08447265625
antenne,TETOUAN,2026-04-30,8635.6044921875
antenne,TETOUAN,2026-05-31,7933.92626953125
antenne,TETOUAN,2026-06-30,7368.44091796875
antenne,TETOUAN,2026-07-31,7841.041015625
antenne,TETOUAN,2026-08-31,7916.13525390625
antenne,TETOUAN,2026-09-30,8390.4501953125
antenne,TETOUAN,2026-10-31,8973.9892578125
antenne,TETOUAN,2026-11-30,8553.5703125
antenne,TETOUAN,2026-12-31,8591.4404296875
produit,Attestation Professionnelle,2026-01-31,21212.50390625
produit,Attestation Professionnelle,2026-02-28,19592.7734375
produit,Attestation Professionnelle,2026-03-31,17321.369140625
produit,Attestation Professionnelle,2026-04-30,21278.79296875
produit,Attestation Professionnelle,2026-05-31,20687.130859375
produit,Attestation Professionnelle,2026-06-30,23051.404296875
produit,Attestation Professionnelle,2026-07-31,26530.1796875
produit,Attestation Professionnelle,2026-08-31,27632.91796875
produit,Attestation Professionnelle,2026-09-30,29988.71875
produit,Attestation Professionnelle,2026-10-31,32630.849609375
produit,Attestation Professionnelle,2026-11-30,31126.580078125
produit,Attestation Professionnelle,2026-12-31,31358.759765625
produit,Carte de Commerce,2026-01-31,32284.943359375
produit,Carte de Commerce,2026-02-28,27678.546875
produit,Carte de Commerce,2026-03-31,26745.376953125
