label,segment_type,segment_value,n_train,n_test,mae,rmse,mape
xgb_global,,,27.0,3.0,16816.9277,18984.8234,16.5001
xgb_segments_global,ALL,ALL,25.07,2.73,4374.1875,5514.0422,18.8917
xgb_adherent_global,adherent,ALL,27.0,3.0,8049.089,10379.0522,10.8376
xgb_antenne_global,antenne,ALL,27.0,3.0,4166.198,5451.1039,20.0432
xgb_produit_global,produit,ALL,24.2,2.6,2607.837,3215.3269,17.5899
xgb_secteur_global,secteur,ALL,23.25,2.5,4952.6644,6017.8696,23.3946
xgb_adherent_PM,adherent,PM,27.0,3.0,14577.6904,19231.1239,17.0391
xgb_adherent_PP,adherent,PP,27.0,3.0,1520.4877,1526.9804,4.6362
xgb_antenne_AL HOCEIMA,antenne,AL HOCEIMA,27.0,3.0,752.5176,960.1177,3.8296
xgb_antenne_LARACHE,antenne,LARACHE,27.0,3.0,1025.6312,1145.2766,53.4548
xgb_antenne_TANGER,antenne,TANGER,27.0,3.0,14278.3438,18964.6163,15.7007
xgb_antenne_TETOUAN,antenne,TETOUAN,27.0,3.0,608.2995,734.4051,7.1878
xgb_produit_Attestation Professionnelle,produit,Attestation Professionnelle,27.0,3.0,293.0443,403.7138,1.7329
xgb_produit_Carte de Commerce,produit,Carte de Commerce,27.0,3.0,1516.0111,1587.4438,5.072
xgb_produit_Certificat d'origine,produit,Certificat d'origine,27.0,3.0,8580.5703,11173.9171,15.0033
xgb_produit_Location de salles,produit,Location de salles,13.0,1.0,1399.2542,1399.2541,46.6418
xgb_produit_Légalisation,produit,Légalisation,27.0,3.0,1250.3051,1512.3059,19.4995
xgb_secteur_Commerce,secteur,Commerce,27.0,3.0,7361.688,7819.0549,22.1911
xgb_secteur_Hors secteur,secteur,Hors secteur,12.0,1.0,1686.2646,1686.2647,46.237
xgb_secteur_Industrie,secteur,Industrie,27.0,3.0,4910.8403,6777.5025,12.2352
xgb_secteur_Service,secteur,Service,27.0,3.0,5851.8647,7788.6564,12.9149
